	Importance	sample
24	0.34964376017520743	0
56	0.14615599291216294	1
20	0.04409723065844374	2
58	0.02515098434692456	3
34	0.02450767925259223	4
29	0.023497692573793808	5
23	0.02092520552935673	6
52	0.013693508939961898	7
61	0.013052173261730481	8
16	0.012272679533351505	9
38	0.011581759116866033	10
44	0.01086599420558918	11
17	0.010429230516423938	12
83	0.009071863314305042	13
87	0.008536044324579991	14
11	0.008241291290145192	15
4	0.008059996075920828	16
8	0.007744373821047336	17
6	0.007647789851248492	18
9	0.007530656623339554	19
42	0.006924663793561966	20
49	0.006783096619791416	21
18	0.006591364384043379	22
75	0.006535229486721489	23
74	0.00646135621590556	24
93	0.006387401567758906	25
95	0.006340186424722446	26
32	0.006333041914369956	27
64	0.006208432402138321	28
94	0.006098586811793507	29
98	0.005905812077817877	30
7	0.005436034357696199	31
22	0.005117536999097588	32
43	0.00507880765638912	33
78	0.004878122439670901	34
13	0.00485161671101625	35
5	0.004829006341298933	36
28	0.004809081682274735	37
99	0.004776214341856587	38
70	0.004683150092661973	39
37	0.0046453413440362065	40
31	0.004537199312990755	41
72	0.004006077224473698	42
35	0.003571577163785233	43
46	0.0035293131257820047	44
27	0.0034834968127676878	45
12	0.0033179054506696035	46
77	0.003307536549656501	47
36	0.0032741654360563133	48
84	0.003269665688791978	49
21	0.003183728358554814	50
92	0.0031245270808706173	51
65	0.002909665694426217	52
47	0.002907577560829465	53
0	0.0028716306631659423	54
19	0.00284441698308059	55
63	0.0027990728069961367	56
50	0.0026668397917368205	57
10	0.0026598098933837476	58
3	0.0025890649742245798	59
26	0.0024771626696813726	60
30	0.0023836109188860367	61
15	0.0020555966315781065	62
69	0.0019474816447555524	63
14	0.0018943058024879051	64
62	0.001872455046273192	65
45	0.0018631429629056692	66
97	0.0017580680103371465	67
57	0.0017147103225891014	68
91	0.0016936267320015281	69
71	0.0016336342069889884	70
54	0.0016258717216467216	71
86	0.0016171737267053987	72
33	0.0016092072396652493	73
81	0.001573594831668458	74
39	0.0015295790306204442	75
53	0.0014958628966605032	76
80	0.0014743490837976392	77
40	0.001454931651202667	78
82	0.0014399219957811412	79
2	0.0013998874388768323	80
96	0.0013360942008144	81
68	0.0013324158128737293	82
90	0.0013123447270053411	83
88	0.0012910151026069054	84
89	0.0012758278399578465	85
25	0.001275706483575083	86
41	0.0012407622147941552	87
76	0.0011374569942901426	88
66	0.0011314239814130675	89
1	0.0010982138494910608	90
48	0.0010699043601952987	91
67	0.001065129391772037	92
60	0.001009979178774857	93
55	0.000947342878334843	94
73	0.0009454409208221174	95
85	0.0009050207805721365	96
51	0.0006767988382315466	97
59	0.0006171615403876696	98
79	0.000584525779121271	99
