,Idx,Name,Label,Perc_missing,Coef,VIP,Coef-95CI,VIP-95CI
41,41,M41,1-linoleoyl-GPA (18:2)*,0.3032140691328078,-1.1877819,0.01636147,[-0.43760605 -0.19135146 -0.32144766],[0.00611827 0.00933013 0.00761991]
113,113,M113,2'-deoxyuridine,0.6064281382656156,0.96341634,0.01576633,[0.11367227 0.37887469 0.21996637],[0.00514551 0.00988014 0.00703173]
721,721,M721,nervonoylcarnitine (C24:1)*,4.366282595512431,1.0740687,0.014073532,[0.24576483 0.48351279 0.34518921],[0.0073719  0.01127244 0.00905784]
221,221,M221,4-guanidinobutanoate,0.0,0.931267,0.013578342,[0.12831541 0.37585245 0.25392215],[0.00622504 0.01057492 0.00816728]
488,488,M488,gamma-glutamylthreonine,0.3032140691328078,-0.9787972,0.013501518,[-0.18598629  0.03354261 -0.07319618],[0.00337017 0.0061613  0.00439391]
115,115,M115,2'-O-methyluridine,3.3353547604608855,-0.7808537,0.013335578,[-0.23629096  0.12995061 -0.09327551],[0.00430744 0.00703944 0.00540797]
59,59,M59,1-oleoyl-GPE (18:1),0.0,0.9029057,0.013186492,[0.01474675 0.23108462 0.14047897],[0.00557883 0.00808706 0.00677228]
23,23,M23,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.2425712553062462,-0.7853497,0.012640932,[-0.08381755  0.11221743  0.04098779],[0.0041806  0.00559493 0.00480481]
396,396,M396,cystathionine,15.221346270466949,0.81569505,0.012537257,[0.11431346 0.3594694  0.24621282],[0.00891273 0.01266502 0.01084332]
212,212,M212,4-acetamidobutanoate,0.1212856276531231,-0.8516815,0.012490632,[-0.48558265 -0.26156227 -0.36636618],[0.00763739 0.01130301 0.00933607]
