	Importance	sample
85	0.15079299236568197	0
63	0.11984553310135616	1
47	0.05872092410716104	2
15	0.05870320366913818	3
65	0.04472188603700731	4
3	0.044504822401151826	5
5	0.03534811210506368	6
86	0.029618126089754622	7
58	0.029201636460748356	8
69	0.018364965749258534	9
14	0.016188946245283074	10
26	0.012828427199493732	11
97	0.01209009269483551	12
76	0.01202617314158724	13
39	0.01186865430849774	14
62	0.011623721977446577	15
28	0.01065478070080737	16
78	0.010604375015704373	17
87	0.010297395916673405	18
7	0.009956875350993552	19
25	0.009888730274733953	20
33	0.009687291442187803	21
98	0.008416186342183272	22
22	0.008107439058864897	23
74	0.008020667009294064	24
83	0.008000252722744055	25
73	0.007597586612557525	26
66	0.0072080560383108285	27
18	0.006881356989608822	28
81	0.0067856243353710275	29
93	0.006591418659371011	30
59	0.005969309652569687	31
92	0.0058880575305028	32
12	0.005555476196369481	33
96	0.005346028812570391	34
36	0.005214800541894554	35
1	0.005032478781709673	36
32	0.004892422133047711	37
44	0.004860862976098817	38
6	0.004639965609471423	39
53	0.004414879829119946	40
91	0.004224416189185467	41
70	0.004113926835163611	42
67	0.004108146603552749	43
57	0.00410536351864068	44
8	0.004060807959744602	45
24	0.004058623662066739	46
95	0.004042489963693559	47
35	0.004034257284391528	48
94	0.00392880365707175	49
11	0.003893118137442302	50
0	0.003843359181559175	51
16	0.003799583112401191	52
10	0.0036544768551629763	53
79	0.0034977970823944454	54
17	0.0034815514588557627	55
64	0.0033866197255199783	56
34	0.0031444771747087363	57
20	0.0030896111762615764	58
30	0.0030830551665212203	59
23	0.0030633347140573753	60
21	0.0030606687835839416	61
41	0.0030384584564611657	62
42	0.0030129751218079116	63
51	0.0028904451266200766	64
52	0.0028882038286250807	65
82	0.0028606925883113243	66
77	0.0028546755715214206	67
68	0.0028043391129397716	68
48	0.0026347647653794117	69
45	0.0025886455289468747	70
72	0.002579615611122922	71
54	0.0025671398813338865	72
4	0.0025345084974013783	73
75	0.0024144110255322087	74
99	0.002287461790061498	75
19	0.002249518959617748	76
90	0.0022434314664273045	77
40	0.0021537050316591012	78
9	0.002137010109839106	79
71	0.002105243999727649	80
84	0.0020437774845426383	81
56	0.002017610821325051	82
43	0.001959989024909028	83
50	0.0018958019946727842	84
38	0.001748848115002104	85
13	0.0017404521412292314	86
46	0.0015112847712251323	87
37	0.0014882871191698689	88
29	0.0014394415800350066	89
49	0.0014220707161599654	90
89	0.001410008157539934	91
27	0.0014067333573652924	92
80	0.0014014055594161704	93
31	0.0012567677881342367	94
2	0.001163299940775562	95
60	0.0009556311733208485	96
61	0.0006908800936432483	97
88	0.0006759601955824295	98
55	0.0002914790644103541	99
