	feature	importance
4664	ENSG00000131797	0.011581293142968402
4214	ENSG00000126353	0.011110097708523847
11899	ENSG00000229164	0.010938514152201238
8540	ENSG00000169249	0.009213654866927566
8460	ENSG00000168685	0.008168155291611705
8432	ENSG00000168421	0.008055965979101068
6438	ENSG00000148843	0.007343454584321462
6144	ENSG00000145241	0.00693762694123391
645	ENSG00000063177	0.006898510244895077
5831	ENSG00000142102	0.006373168753877017
7412	ENSG00000161912	0.006260235793136285
6526	ENSG00000150093	0.006245575739871515
10452	ENSG00000196199	0.005261134967235095
6321	ENSG00000147394	0.00517397067917147
5662	ENSG00000140386	0.005173486793724271
2680	ENSG00000108848	0.004957871544418808
921	ENSG00000072818	0.004921299029193424
1831	ENSG00000100941	0.004849323754905114
